Tour,surface,best_of,w_dk_score,l_dk_score,WIO,LIO,straight_sets
ATP,Clay,5,88.1,1.7,0.960784314,0.039215686,1
ATP,Hard,5,88.1,1.7,0.931372549,0.068627451,1
ATP,Grass,5,88.1,1.7,0.843137255,0.156862745,1
ATP,Hard,5,88.1,1.7,0.81372549,0.18627451,1
ATP,Hard,5,87.9,6.7,0.774509804,0.225490196,1
ATP,Grass,5,87.8,6.6,0.950980392,0.049019608,1
ATP,Hard,5,87.8,6.6,0.650485437,0.349514563,1
ATP,Clay,5,87.8,7.1,0.5,0.5,1
WTA,Hard,3,87.75,5,0.931372549,0.068627451,1
WTA,Hard,3,87.75,5,0.902912621,0.097087379,1
WTA,Hard,3,87.75,5,0.894230769,0.105769231,1
ATP,Hard,3,74.25,19.5,0.941747573,0.058252427,1
WTA,Hard,3,87.75,5,0.873786408,0.126213592,1
ATP,Hard,3,72.75,18.75,0.941747573,0.058252427,1
WTA,Hard,3,87.75,5,0.862745098,0.137254902,1
WTA,Hard,3,87.75,5,0.862745098,0.137254902,1
ATP,Clay,3,71.5,17.5,0.941747573,0.058252427,1
WTA,Hard,3,87.75,5,0.862745098,0.137254902,1
ATP,Hard,3,70.75,22,0.941747573,0.058252427,1
ATP,Clay,3,60.5,31.25,0.941747573,0.058252427,0
ATP,Clay,3,86.5,8.25,0.941176471,0.058823529,1
ATP,Clay,3,81.75,8.25,0.941176471,0.058823529,1
WTA,Hard,3,87.75,5,0.815533981,0.184466019,1
WTA,Hard,3,87.75,5,0.803921569,0.196078431,1
ATP,Clay,3,79,10,0.941176471,0.058823529,1
WTA,Hard,3,87.75,5,0.794117647,0.205882353,1
WTA,Clay,3,87.75,5,0.786407767,0.213592233,1
ATP,Clay,3,76.25,12.5,0.941176471,0.058823529,1
WTA,Clay,3,87.75,5,0.778846154,0.221153846,1
WTA,Hard,3,87.75,5,0.776699029,0.223300971,1
ATP,Clay,3,75,15.75,0.941176471,0.058823529,1
WTA,Hard,3,87.75,5,0.766990291,0.233009709,1
WTA,Grass,3,87.75,5,0.774509804,0.225490196,1
WTA,Hard,3,87.75,5,0.766990291,0.233009709,1
WTA,Hard,3,87.75,5,0.75,0.25,1
WTA,Hard,3,87.75,5,0.740384615,0.259615385,1
ATP,Clay,3,74.5,20.5,0.941176471,0.058823529,1
WTA,Hard,3,87.75,5,0.735294118,0.264705882,1
WTA,Grass,3,87.75,5,0.725490196,0.274509804,1
ATP,Hard,3,72.25,18.25,0.941176471,0.058823529,1
ATP,Hard,3,70,20.5,0.941176471,0.058823529,1
WTA,Hard,3,87.75,5,0.705882353,0.294117647,1
ATP,Clay,3,89.75,2.5,0.932038835,0.067961165,1
ATP,Clay,3,83.75,5,0.932038835,0.067961165,1
WTA,Hard,3,87.75,5,0.676470588,0.323529412,1
ATP,Hard,3,81.75,7.5,0.932038835,0.067961165,1
